language,stocknumber,script,smstk,file_name
Bantoanon,N2BNO/WBT,Latn,BNOWBT,Base_BANTOANON_N2_BNO_WBT.XLSX
Barai,N2BBB/WBT,Latn,BBBWBT,Base_BARAI_N2BBBWBT.XLSX
Bari,N2BFA/BSS,Latn,BFABSS,Base_BARI_N2_BFA_BSS.XLSX
Basque,N2EUS/EAB,Latn,EUSEAB,Base_EUSKARA_N2_EUS_EAB.XLSX
Batad Ifugao,N2IFB/TBL,Latn,IFBTBL,Base_AYANGAN_IFUGAO_N2_IFB_TBL.XLSX
Batak Angkola,N2AKB/LAI,Latn,AKBLAI,Base_BATAK_ANGKOLA_N2AKBLAI.XLSX
Batak Karo,N2BTX/LAI,Latn,BTXLAI,Base_BATAK-KARO_N2_BTX_LAI.XLSX
Batak Simalungun,N2BTS/LAI,Latn,BTSLAI,Base_BATAK_SIMALUNGUN__N2_BTS_LAI.XLSX
Bauzi,N2BVZ/YSS,Latn,BVZYSS,Base_BAUZI_N2_BVZ_YSS.XLSX
Bedjond,N2BJV/WYI,Latn,BJVWYI,Base_NANGNDA_N2_BJV_WYI.XLSX
Bekwarra,N2BKV/WYI,Latn,BKVWYI,Base_BEKWARRA_N2_BKV_WYI.XLSX
Belize Kriol English,N2BZJ/BSW,Latn,BZJBSW,Base_BELIZE_KRIOL_N2_BZJ_BSW.XLSX
Coatecas Altas Zapotec,N2ZCA/WYI,Latn,ZCAWYI,Base_ZAPOTEC_COATECAS_ALTAS_N2_ZCA_WYI.XLSX
Cogui,N2KOG/WBT,Latn,KOGWBT,Base_KOGI_N2_KOG_WBT.XLSX
Colorado,N2COF/WBT,Latn,COFWBT,Base_COLORADO_N2_COF_WBT.XLSX
Cuiba,N2CUI/WBT,Latn,CUIWBT,Base_CUIBA_N2_CUI_WBT.XLSX
Culina,N2CUL/WBT,Latn,CULWBT,Base_CULINA_N2_CUL_WBT.XLSX
Daasanach,N2DSH/BTL,Latn,DSHBTL,Base_DAASANACH_N2_DSH_BTL.XLSX
DangalÃ©at,N2DAA/WYI,Latn,DAAWYI,Base_DANGALEAT_N2_DAA_WYI.XLSX
Dawro,N2DWR/TBL,Latn,DWRTBL,Base_DAWRO_N2_DWR_TBL.XLSX
Dendi (Benin),N2DDN/BIV,Latn,DDNBIV,Base_DENDI_N2DDNBIV.XLSX
Denya,N2ANV/WBT,Latn,ANVWBT,Base_DENYA_N2_ANV_WBT.XLSX
Didinga,N2DID/WBT,Latn,DIDWBT,Base_DIDINGA_N2_DID_WBT.XLSX
Dii,N2DUR/ABC,Latn,DURABC,Base_DII_N2_DUR_ABC.XLSX
Djimini Senoufo,N2DYI/IBS,Latn,DYIIBS,Base_SENOUFO_DJIMINI_N2_DYI_IBS.XLSX
Duri,N2MVP/LAI,Latn,MVPLAI,Base_DURI_N2_MVP_LAI.XLSX
Duruma,N2DUG/BTL,Latn,DUGBTL,Base_N2_DUG_BTL.XLSX
Eastern ApurÃ­mac Quechua,N2QVE/TBL,Latn,QVETBL,Base_QUECHUA_EASTERN_APURIMAC_N2_QVE_TBL.XLSX
Eastern Oromo,N2HAE/BSE,Latn,HAEBSE,Base_OROMO_EASTERN_N2_HAE_BSE.XLSX
Ekajuk,N2EKA/WYI,Latn,EKAWYI,Base_EKAJUK_N2_EKA_WYI.XLSX
Enxet,N2ENX/BSP,Latn,ENXBSP,Base_ÉNXET_N2_ENX_BSP.XLSX
Ese,N2MCQ/TBL,Latn,MCQTBL,Base_ESE_N2_MCQ_TBL.XLSX
Ewe (Ghana),N2EWE/BSG,Latn,EWEBSG,Base_EWE_N2_EWE_BSG.XLSX
Falam Chin,N2FLM/UBS,Latn,FLMUBS,Base_CHIN_FALAM_N2_FLM_UBS.XLSX
Galela,N2GBI/LAI,Latn,GBILAI,Base_GALELA_N2_GBI_LAI.XLSX
Gela,N2NLG/WBT,Latn,NLGWBT,Base_GELA_N2NLGWBT.XLSX
Gilbertese,N2GIL/BSP,Latn,GILBSP,Base_KIRIBATI_N2_GIL_BSP.XLSX
Gofa,N2GOF/TBL,Latn,GOFTBL,Base_GOFFA_N2_GOF_TBL.XLSX
Gor,N2GQR/WBT,Latn,GQRWBT,Base_GOR_N2_GQR_WBT.XLSX
Gorontalo,N2GOR/LAI,Latn,GORLAI,Base_GORONTALO_N2_GOR_LAI.XLSX
GuajajÃ¡ra,N2GUB/WBT,Latn,GUBWBT,Base_GUAJAJARA_N2_GUB_WBT.XLSX
Guerrero Nahuatl,N2NGU/TBL,Latn,NGUTBL,Base_NAHUATL_GUERRERO_N2_NGU_TBL.XLSX
Hakha Chin,N2CNH/BSM,Latn,CNHBSM,Base_CHIN_HAKA_N2_CNH_BSM.XLSX
Hakka Chinese,N2HAK/THV,Latn,HAKTHV,Base_HAKKA_N2_HAK_THV.XLSX
Hamer-Banna,N2AMF/SIM,Latn,AMFSIM,Base_BANNA_N2_AMF_SIM.XLSX
